itemID,sellingPrice,sellingCurrency,shippingPrice,shippingCurrency,returnShippingPaidBy,type,brand,operatingSystem,screenSize,hardDriveGB,ramGB,processorType,processorSpeedGHZ,releaseYear,graphicsProcessingType,condition
261782328074,172.0,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,Seller refurbished
281669841929,30.0,USD,15.0,USD,null,null,null,null,null,null,null,null,null,null,null,Used
131407668023,179.99,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,Manufacturer refurbished
121628090481,160.0,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,New other (see details)
151580431563,139.6,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,Manufacturer refurbished
121628092716,299.99,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,Used
331527275942,269.99,USD,4.99,USD,null,null,null,null,null,null,null,null,null,null,null,New
171761073235,99.99,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,Used
391114656134,949.99,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,New
391120474386,455.0,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,New
221747810810,225.5,USD,null,USD,null,null,null,null,null,null,null,null,null,null,null,Manufacturer refurbished
291247122341,349.99,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,New
351374025628,180.0,USD,null,USD,null,null,null,null,null,null,null,null,null,null,null,Used
281639524066,549.87,USD,19.99,USD,null,null,null,null,null,null,null,null,null,null,null,Manufacturer refurbished
121628096742,299.99,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,Used
281624097336,284.99,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,New
331504103888,446.99,USD,null,USD,null,null,null,null,null,null,null,null,null,null,null,New
131491872470,612.33,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,Used
371304672330,929.0,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,New
111649629202,109.99,USD,14.99,USD,null,null,null,null,null,null,null,null,null,null,null,Used
301569374601,354.99,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,Seller refurbished
221746023558,50.0,USD,null,USD,null,null,null,null,null,null,null,null,null,null,null,Used
121604368277,299.99,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,New
111591683836,179.0,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,Manufacturer refurbished
121624460191,0.99,USD,17.0,USD,null,null,null,null,null,null,null,null,null,null,null,For parts or not working
371309828646,799.99,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,New
111649633474,189.0,USD,25.0,USD,null,null,null,null,null,null,null,null,null,null,null,Used
301590975579,599.99,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,New
321727143405,20.5,USD,null,USD,null,null,null,null,null,null,null,null,null,null,null,For parts or not working
191563696869,679.99,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,New
171763699694,895.0,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,Manufacturer refurbished
361271747365,142.5,USD,0.0,USD,null,null,null,null,null,null,null,null,null,null,null,Used
