sellingPrice,shippingPrice,returnShippingPaidBy,type,brand,operatingSystem,screenSize,hardDriveGB,ramGB,processorType,processorSpeedGHZ,releaseYear,graphicsProcessingType,condition
172,0,Buyer,Notebook,Acer,Windows Vista,14.1,320,4,INTEL,2.13,2002,Integrated,Seller refurbished
30,15,Seller,Netbook,Lenovo,Windows Vista,14.1,320,4,ATOM,2.13,2005,Integrated,Used
179.99,0,Seller,Ultrabook,Gateway,Windows 7,14.1,320,4,AMD,2.13,2010,Dedicated,Manufacturer refurbished
160,0,Seller,Laptop,Compaq,Windows 7,14.1,320,4,INTEL,2.13,2013,Dedicated,New
139.6,0,Seller,Laptop,Compaq,Windows Vista,14.1,320,4,AMD,2.13,2004,Hybrid,Manufacturer refurbished
299.99,0,Seller,Notebook,HP,Windows Vista,14.1,320,4,AMD,2.13,2010,Hybrid,Used
269.99,4.99,Buyer,Netbook,Asus,Windows 7,14.1,320,4,AMD,2.13,2015,Hybrid,New
99.99,0,Seller,Notebook,HP,Windows 7,14.1,320,4,INTEL,2.13,2001,Hybrid,Used
949.99,0,Buyer,Ultrabook,Dell,Windows Vista,14.1,320,4,ATOM,2.13,2014,Hybrid,New
455,0,Buyer,Notebook,HP,Windows XP,14.1,320,4,INTEL,2.13,2006,Dedicated,New
225.5,0,Seller,Laptop,Gateway,Windows XP,14.1,320,4,AMD,2.13,2008,Integrated,Manufacturer refurbished
349.99,0,Seller,Portable,Acer,Not included,14.1,320,4,INTEL,2.13,2001,Integrated,New
180,0,Seller,Ultrabook,Gateway,Windows Vista,14.1,320,4,AMD,2.13,2009,Dedicated,Used
549.87,19.99,Seller,Laptop,Emachines,Windows XP,14.1,320,4,AMD,2.13,2012,Dedicated,Manufacturer refurbished
299.99,0,Buyer,Netbook,Panasonic,Chrome OS,14.1,320,4,AMD,2.13,2003,Hybrid,Used
284.99,0,Seller,Netbook,Emachines,Not included,14.1,320,4,AMD,2.13,2005,Integrated,New
446.99,0,Seller,Netbook,HP,Windows Vista,14.1,320,4,ATOM,2.13,2004,Hybrid,New
612.33,0,Seller,Laptop,Acer,Windows Vista,14.1,320,4,INTEL,2.13,2013,Integrated,Used
929,0,Seller,Ultrabook,Gateway,Windows 2000,14.1,320,4,INTEL,2.13,2013,Dedicated,New
109.99,14.99,Buyer,Portable,Toshiba,Windows XP,14.1,320,4,AMD,2.13,2005,Dedicated,Used
354.99,0,Buyer,Notebook,Compaq,Windows 2000,14.1,320,4,AMD,2.13,2012,Integrated,Seller refurbished
50,0,Buyer,Ultrabook,Sony,Windows 8,14.1,320,4,ATOM,2.13,2014,Dedicated,Used
299.99,0,Seller,Netbook,Acer,Windows Vista,14.1,320,4,AMD,2.13,2013,Hybrid,New
179,0,Seller,Portable,Compaq,Windows Vista,14.1,320,4,ATOM,2.13,2013,Dedicated,Manufacturer refurbished
799.99,0,Seller,Netbook,Fujitsu,Windows 7,14.1,320,4,ATOM,2.13,2005,Hybrid,New
189,25,Seller,Netbook,Compaq,Windows 8,14.1,320,4,AMD,2.13,2007,Dedicated,Used
599.99,0,Buyer,Portable,Samsung,Windows XP,14.1,320,4,INTEL,2.13,2002,Dedicated,New
20.5,0,Seller,Netbook,Toshiba,Chrome OS,14.1,320,4,AMD,2.13,2006,Hybrid,For parts or not working
679.99,0,Buyer,Netbook,Emachines,Windows 2000,14.1,320,4,ATOM,2.13,2001,Integrated,New
895,0,Buyer,Notebook,Acer,Windows XP,14.1,320,4,ATOM,2.13,2008,Integrated,Manufacturer refurbished
142.5,0,Seller,Laptop,Samsung,Windows 2000,14.1,320,4,AMD,2.13,2006,Integrated,Used
1179.99,0,Seller,Notebook,Samsung,Windows Vista,14.1,320,4,INTEL,2.13,2001,Dedicated,New
405,18.95,Seller,Laptop,Compaq,Windows XP,14.1,320,4,AMD,2.13,2011,Integrated,Used
150,0,Buyer,Ultrabook,Acer,Not included,14.1,320,4,ATOM,2.13,2002,Integrated,Seller refurbished
128.5,0,Buyer,Laptop,Sony,Windows 7,14.1,320,4,AMD,2.13,2001,Dedicated,Used
239,0,Seller,Portable,Lenovo,Windows 8,14.1,320,4,ATOM,2.13,2012,Integrated,Used
149,0,Buyer,Ultrabook,Lenovo,Windows XP,14.1,320,4,INTEL,2.13,2005,Dedicated,Seller refurbished
225,0,Seller,Notebook,Toshiba,Windows 8,14.1,320,4,INTEL,2.13,2012,Integrated,Used
389.95,0,Seller,Laptop,Asus,Not included,14.1,320,4,ATOM,2.13,2012,Hybrid,New
63,0,Buyer,Ultrabook,Dell,Not included,14.1,320,4,INTEL,2.13,2010,Dedicated,Used
749,0,Buyer,Portable,Panasonic,Windows 7,14.1,320,4,INTEL,2.13,2014,Dedicated,New
700,0,Buyer,Netbook,Fujitsu,Windows Vista,14.1,320,4,AMD,2.13,2012,Hybrid,Manufacturer refurbished
255.99,10.99,Buyer,Portable,HP,Not included,14.1,320,4,AMD,2.13,2004,Hybrid,New
479.95,0,Seller,Portable,Sony,Windows Vista,14.1,320,4,AMD,2.13,2015,Dedicated,Manufacturer refurbished
299.99,0,Buyer,Portable,Compaq,Windows 8,14.1,320,4,AMD,2.13,2009,Hybrid,New
56,0,Seller,Notebook,HP,Windows 2000,14.1,320,4,ATOM,2.13,2014,Hybrid,Seller refurbished
479.95,0,Buyer,Ultrabook,IBM,Windows Vista,14.1,320,4,ATOM,2.13,2009,Integrated,Manufacturer refurbished
102.5,0,Buyer,Notebook,Lenovo,Windows 7,14.1,320,4,ATOM,2.13,2008,Integrated,Used
629.99,0,Buyer,Ultrabook,Asus,Not included,14.1,320,4,ATOM,2.13,2006,Dedicated,New
24.99,20,Seller,Portable,Panasonic,Not included,14.1,320,4,INTEL,2.13,2004,Hybrid,Used
479.99,0,Seller,Netbook,Samsung,Windows 2000,14.1,320,4,INTEL,2.13,2005,Dedicated,Manufacturer refurbished
37,20,Seller,Portable,Emachines,Windows Vista,14.1,320,4,AMD,2.13,2012,Hybrid,Used
549,19.99,Seller,Netbook,Gateway,Windows 2000,14.1,320,4,ATOM,2.13,2004,Hybrid,Manufacturer refurbished
140,0,Buyer,Portable,Dell,Chrome OS,14.1,320,4,INTEL,2.13,2011,Integrated,Used
479.95,0,Buyer,Notebook,Panasonic,Not included,14.1,320,4,INTEL,2.13,2007,Dedicated,Manufacturer refurbished
879.95,34.95,Buyer,Netbook,Samsung,Chrome OS,14.1,320,4,AMD,2.13,2000,Integrated,Seller refurbished
