sellingPrice,shippingPrice,returnShippingPaidBy,type,brand,operatingSystem,screenSize,hardDriveGB,ramGB,processorType,processorSpeedGHZ,releaseYear,graphicsProcessingType,condition
172,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
179.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
139.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
299.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
269.99,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
99.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
949.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
455,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
225.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
349.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
549.87,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
299.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
284.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
446.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
612.33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
929,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
109.99,14.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
354.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
299.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
179,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
799.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
189,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
599.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
679.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
895,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
142.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
1179.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
405,18.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
128.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
239,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
149,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
225,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
389.95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
749,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
255.99,10.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
479.95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
299.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
479.95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
102.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
629.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
24.99,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
479.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
37,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
549,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
140,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
479.95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
879.95,34.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
479.95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
479.95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
39.95,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
299.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
211.95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
34.95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For parts or not working
599.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
174,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
49.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
298.95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
268.98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
589.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
159.96,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seller refurbished
125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
639,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturer refurbished
399.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used
629.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
